date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-12-04,OXY,Energy,9,88,1,finance_lexicon_baseline,0.0,0.9545454545454546,0.045454545454545456,1.0
2020-12-04,QCOM,Tech,3,23,0,finance_lexicon_baseline,0.0,0.9130434782608696,0.08695652173913043,1.0
2020-12-04,SLB,Energy,1,10,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,SO,Utilities,1,7,1,finance_lexicon_baseline,0.0,0.7142857142857143,0.2857142857142857,1.0
2020-12-04,T,Comm,7,56,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,TMUS,Comm,1,5,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,UPS,Industrials,1,14,0,finance_lexicon_baseline,0.0,0.9285714285714286,0.07142857142857142,1.0
2020-12-04,V,Financials,2,17,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,WFC,Financials,2,21,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-04,WMT,Consumer,2,24,0,finance_lexicon_baseline,0.0,0.9583333333333334,0.041666666666666664,1.0
2020-12-04,XOM,Energy,7,60,0,finance_lexicon_baseline,0.0,0.9666666666666667,0.03333333333333333,1.0
2020-12-07,ABBV,Healthcare,3,27,1,finance_lexicon_baseline,0.0,0.962962962962963,0.037037037037037035,1.0
2020-12-07,ABT,Healthcare,3,22,2,finance_lexicon_baseline,0.0,0.9090909090909091,0.09090909090909091,1.0
2020-12-07,ADBE,Tech,3,28,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,AMD,Tech,3,27,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,AMT,RealEstate,1,10,0,finance_lexicon_baseline,0.0,0.9,0.1,1.0
2020-12-07,BA,Industrials,12,97,0,finance_lexicon_baseline,0.0,0.979381443298969,0.020618556701030927,1.0
2020-12-07,CAT,Industrials,1,8,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-12-07,CVX,Energy,9,90,0,finance_lexicon_baseline,0.011111111111111112,0.9222222222222223,0.06666666666666667,0.7142857142857143
2020-12-07,DIS,Consumer,15,135,3,finance_lexicon_baseline,0.0,0.9777777777777777,0.022222222222222223,1.0
