date,sector,sentiment_score,ticker_count,tickers_with_headlines,headline_count,sentiment_lag1
2022-04-18,Energy,0.51546,5,4,15,0.35884
2022-04-18,Financials,0.62074,5,5,27,0.75816
2022-04-18,Healthcare,0.08092,5,3,9,0.023239999999999993
2022-04-18,Industrials,0.06669999999999998,5,4,8,0.11438
2022-04-18,Materials,0.22313999999999998,5,5,8,0.2271
2022-04-18,RealEstate,0.15722,5,3,6,0.38812
2022-04-18,Tech,0.31526,5,5,24,0.004959999999999997
2022-04-18,Utilities,0.18436,5,2,5,0.09022
2022-04-19,Comm,0.09706,5,5,16,-0.041739999999999985
2022-04-19,Consumer,0.35136,5,5,25,0.38366
2022-04-19,Energy,0.43364,5,5,13,0.51546
2022-04-19,Financials,0.45587999999999995,5,5,23,0.62074
2022-04-19,Healthcare,0.03952,5,5,19,0.08092
2022-04-19,Industrials,0.17608000000000001,5,4,10,0.06669999999999998
2022-04-19,Materials,0.21833999999999998,5,4,12,0.22313999999999998
2022-04-19,RealEstate,-0.06055999999999999,5,5,11,0.15722
2022-04-19,Tech,0.56152,5,5,24,0.31526
2022-04-19,Utilities,0.15676,5,3,3,0.18436
2022-04-20,Comm,0.25261999999999996,5,3,12,0.09706
2022-04-20,Consumer,0.10762000000000001,5,5,28,0.35136
2022-04-20,Energy,0.33766,5,5,10,0.43364
2022-04-20,Financials,0.14186,5,5,11,0.45587999999999995
2022-04-20,Healthcare,0.57642,5,4,16,0.03952
2022-04-20,Industrials,0.15902,5,5,14,0.17608000000000001
2022-04-20,Materials,0.3446,5,3,15,0.21833999999999998
2022-04-20,RealEstate,0.00746,5,3,7,-0.06055999999999999
2022-04-20,Tech,0.46542000000000006,5,4,17,0.56152
2022-04-20,Utilities,0.00516,5,2,2,0.15676
2022-04-21,Comm,0.43666,5,4,27,0.25261999999999996
2022-04-21,Consumer,0.57942,5,5,25,0.10762000000000001
2022-04-21,Energy,0.5426,5,4,23,0.33766
2022-04-21,Financials,-0.2278,5,5,14,0.14186
2022-04-21,Healthcare,0.36678,5,5,17,0.57642
2022-04-21,Industrials,0.384,5,5,12,0.15902
2022-04-21,Materials,0.30541999999999997,5,5,20,0.3446
2022-04-21,RealEstate,0.20470000000000002,5,5,11,0.00746
2022-04-21,Tech,0.21955999999999998,5,5,23,0.46542000000000006
2022-04-21,Utilities,0.35044,5,5,18,0.00516
2022-04-22,Comm,0.1635,5,4,12,0.43666
2022-04-22,Consumer,0.52016,5,5,24,0.57942
2022-04-22,Energy,0.05668000000000001,5,5,28,0.5426
2022-04-22,Financials,0.34158,5,5,19,-0.2278
2022-04-22,Healthcare,0.21400000000000002,5,4,9,0.36678
2022-04-22,Industrials,-0.15676,5,5,11,0.384
2022-04-22,Materials,0.0738,5,4,20,0.30541999999999997
2022-04-22,RealEstate,0.04046,5,2,3,0.20470000000000002
2022-04-22,Tech,0.12364,5,5,9,0.21955999999999998
2022-04-22,Utilities,0.32712,5,5,13,0.35044
2022-04-25,Comm,0.21703999999999998,5,3,17,0.1635
2022-04-25,Consumer,0.35006,5,5,58,0.52016
2022-04-25,Energy,0.58216,5,5,48,0.05668000000000001
2022-04-25,Financials,0.46086,5,5,30,0.34158
2022-04-25,Healthcare,0.78508,5,5,26,0.21400000000000002
2022-04-25,Industrials,0.45418000000000003,5,5,24,-0.15676
2022-04-25,Materials,0.3932,5,5,15,0.0738
2022-04-25,RealEstate,0.19712000000000002,5,5,7,0.04046
2022-04-25,Tech,0.62184,5,5,39,0.12364
2022-04-25,Utilities,0.43118,5,4,13,0.32712
2022-04-26,Comm,0.43504000000000004,5,4,13,0.21703999999999998
2022-04-26,Consumer,0.2894,5,5,17,0.35006
2022-04-26,Energy,0.4457,5,4,25,0.58216
2022-04-26,Financials,0.59164,5,5,28,0.46086
2022-04-26,Healthcare,-0.09694000000000003,5,5,25,0.78508
2022-04-26,Industrials,-0.06871999999999998,5,5,60,0.45418000000000003
2022-04-26,Materials,0.3118,5,4,13,0.3932
2022-04-26,RealEstate,0.0,5,4,5,0.19712000000000002
